image,true,predicted
scallops/1262105,scallops,foie_gras
steak/2510026,steak,foie_gras
mussels/1303015,mussels,foie_gras
takoyaki/3774197,takoyaki,foie_gras
shrimp_and_grits/366599,shrimp_and_grits,foie_gras
frozen_yogurt/3719583,frozen_yogurt,foie_gras
tacos/857190,tacos,foie_gras
onion_rings/2224579,onion_rings,foie_gras
french_fries/1767804,french_fries,foie_gras
tuna_tartare/3561222,tuna_tartare,foie_gras
ceviche/127492,ceviche,foie_gras
nachos/334533,nachos,foie_gras
sashimi/41363,sashimi,foie_gras
clam_chowder/1756823,clam_chowder,foie_gras
hot_and_sour_soup/3191313,hot_and_sour_soup,foie_gras
pork_chop/3844627,pork_chop,foie_gras
spaghetti_bolognese/944060,spaghetti_bolognese,foie_gras
bibimbap/2512308,bibimbap,foie_gras
croque_madame/1318740,croque_madame,foie_gras
escargots/364726,escargots,foie_gras
creme_brulee/1447826,creme_brulee,foie_gras
macaroni_and_cheese/3827123,macaroni_and_cheese,foie_gras
hot_and_sour_soup/1764754,hot_and_sour_soup,foie_gras
creme_brulee/63855,creme_brulee,foie_gras
risotto/260273,risotto,foie_gras
poutine/2170579,poutine,foie_gras
breakfast_burrito/1381264,breakfast_burrito,foie_gras
scallops/515375,scallops,foie_gras
spaghetti_bolognese/599005,spaghetti_bolognese,foie_gras
scallops/67009,scallops,foie_gras
risotto/394594,risotto,foie_gras
huevos_rancheros/2001514,huevos_rancheros,foie_gras
bibimbap/275330,bibimbap,foie_gras
chocolate_cake/3515160,chocolate_cake,foie_gras
chicken_quesadilla/140290,chicken_quesadilla,foie_gras
samosa/3043632,samosa,foie_gras
fish_and_chips/3149155,fish_and_chips,foie_gras
shrimp_and_grits/2151235,shrimp_and_grits,foie_gras
french_onion_soup/971884,french_onion_soup,foie_gras
seaweed_salad/292452,seaweed_salad,foie_gras
ceviche/3414629,ceviche,foie_gras
breakfast_burrito/3635179,breakfast_burrito,foie_gras
chicken_curry/3623497,chicken_curry,foie_gras
baklava/473273,baklava,foie_gras
steak/717293,steak,foie_gras
beet_salad/1100936,beet_salad,foie_gras
cup_cakes/2203197,cup_cakes,foie_gras
chicken_curry/3305783,chicken_curry,foie_gras
gnocchi/3612951,gnocchi,foie_gras
tuna_tartare/3357548,tuna_tartare,foie_gras
donuts/1536111,donuts,foie_gras
panna_cotta/442644,panna_cotta,foie_gras
macaroni_and_cheese/3851993,macaroni_and_cheese,foie_gras
lobster_bisque/3254985,lobster_bisque,foie_gras
chicken_curry/1653470,chicken_curry,foie_gras
pad_thai/2534245,pad_thai,foie_gras
crab_cakes/555965,crab_cakes,foie_gras
tacos/816725,tacos,foie_gras
baby_back_ribs/353489,baby_back_ribs,foie_gras
lobster_bisque/2697049,lobster_bisque,foie_gras
beignets/294671,beignets,foie_gras
poutine/1687526,poutine,foie_gras
french_fries/2958833,french_fries,foie_gras
lobster_roll_sandwich/3573742,lobster_roll_sandwich,foie_gras
chicken_wings/507904,chicken_wings,foie_gras
huevos_rancheros/214512,huevos_rancheros,foie_gras
edamame/3569901,edamame,foie_gras
takoyaki/2606288,takoyaki,foie_gras
strawberry_shortcake/3580345,strawberry_shortcake,foie_gras
baby_back_ribs/668551,baby_back_ribs,foie_gras
beef_tartare/2062438,beef_tartare,foie_gras
prime_rib/2749372,prime_rib,foie_gras
chocolate_cake/3603070,chocolate_cake,foie_gras
beef_tartare/3524235,beef_tartare,foie_gras
strawberry_shortcake/1795587,strawberry_shortcake,foie_gras
lobster_roll_sandwich/3777683,lobster_roll_sandwich,foie_gras
cheesecake/3807015,cheesecake,foie_gras
pulled_pork_sandwich/202727,pulled_pork_sandwich,foie_gras
beet_salad/347874,beet_salad,foie_gras
spaghetti_carbonara/1192000,spaghetti_carbonara,foie_gras
filet_mignon/506475,filet_mignon,foie_gras
tacos/2177128,tacos,foie_gras
scallops/2244748,scallops,foie_gras
caprese_salad/2642709,caprese_salad,foie_gras
carrot_cake/2724530,carrot_cake,foie_gras
huevos_rancheros/883821,huevos_rancheros,foie_gras
nachos/167607,nachos,foie_gras
churros/3853943,churros,foie_gras
peking_duck/3525472,peking_duck,foie_gras
bread_pudding/1910489,bread_pudding,foie_gras
pork_chop/2498569,pork_chop,foie_gras
beet_salad/232255,beet_salad,foie_gras
carrot_cake/3175778,carrot_cake,foie_gras
crab_cakes/1467112,crab_cakes,foie_gras
hot_and_sour_soup/1628455,hot_and_sour_soup,foie_gras
pulled_pork_sandwich/210370,pulled_pork_sandwich,foie_gras
tuna_tartare/2354613,tuna_tartare,foie_gras
chicken_quesadilla/1806916,chicken_quesadilla,foie_gras
shrimp_and_grits/478313,shrimp_and_grits,foie_gras
eggs_benedict/2607711,eggs_benedict,foie_gras
bibimbap/2774404,bibimbap,foie_gras
tacos/3793042,tacos,foie_gras
garlic_bread/2231258,garlic_bread,foie_gras
spaghetti_carbonara/1337632,spaghetti_carbonara,foie_gras
tuna_tartare/102915,tuna_tartare,foie_gras
lobster_bisque/974979,lobster_bisque,foie_gras
croque_madame/3441140,croque_madame,foie_gras
crab_cakes/3504994,crab_cakes,foie_gras
beef_tartare/525546,beef_tartare,foie_gras
spring_rolls/520315,spring_rolls,foie_gras
dumplings/439,dumplings,foie_gras
deviled_eggs/1551349,deviled_eggs,foie_gras
cup_cakes/3510905,cup_cakes,foie_gras
dumplings/1256402,dumplings,foie_gras
peking_duck/352025,peking_duck,foie_gras
tiramisu/1194926,tiramisu,foie_gras
chicken_quesadilla/1378430,chicken_quesadilla,foie_gras
miso_soup/2461534,miso_soup,foie_gras
gnocchi/75490,gnocchi,foie_gras
beef_carpaccio/1073326,beef_carpaccio,foie_gras
paella/593982,paella,foie_gras
croque_madame/3110443,croque_madame,foie_gras
samosa/1646690,samosa,foie_gras
strawberry_shortcake/1408119,strawberry_shortcake,foie_gras
tuna_tartare/3233255,tuna_tartare,foie_gras
donuts/2965162,donuts,foie_gras
hamburger/1035486,hamburger,foie_gras
ramen/1968036,ramen,foie_gras
shrimp_and_grits/38691,shrimp_and_grits,foie_gras
gnocchi/2517384,gnocchi,foie_gras
strawberry_shortcake/648629,strawberry_shortcake,foie_gras
club_sandwich/1096667,club_sandwich,foie_gras
french_fries/885543,french_fries,foie_gras
beignets/166007,beignets,foie_gras
chocolate_mousse/2746903,chocolate_mousse,foie_gras
omelette/2999701,omelette,foie_gras
bruschetta/2449838,bruschetta,foie_gras
donuts/2856724,donuts,foie_gras
pad_thai/3220455,pad_thai,foie_gras
waffles/1972144,waffles,foie_gras
caesar_salad/2824786,caesar_salad,foie_gras
pulled_pork_sandwich/130200,pulled_pork_sandwich,foie_gras
edamame/2058283,edamame,foie_gras
scallops/823052,scallops,foie_gras
frozen_yogurt/199560,frozen_yogurt,foie_gras
tiramisu/537155,tiramisu,foie_gras
macaroni_and_cheese/352960,macaroni_and_cheese,foie_gras
strawberry_shortcake/1874256,strawberry_shortcake,foie_gras
creme_brulee/2102311,creme_brulee,foie_gras
oysters/46301,oysters,foie_gras
fried_calamari/831978,fried_calamari,foie_gras
bibimbap/2435022,bibimbap,foie_gras
fried_calamari/2284936,fried_calamari,foie_gras
oysters/3164740,oysters,foie_gras
waffles/2534937,waffles,foie_gras
baby_back_ribs/1698180,baby_back_ribs,foie_gras
greek_salad/2054328,greek_salad,foie_gras
scallops/893213,scallops,foie_gras
macarons/246785,macarons,foie_gras
macarons/2941460,macarons,foie_gras
caesar_salad/3125480,caesar_salad,foie_gras
omelette/3270928,omelette,foie_gras
samosa/2889768,samosa,foie_gras
ceviche/340045,ceviche,foie_gras
takoyaki/286501,takoyaki,foie_gras
pizza/254812,pizza,foie_gras
onion_rings/3445577,onion_rings,foie_gras
nachos/2736341,nachos,foie_gras
miso_soup/994795,miso_soup,foie_gras
caesar_salad/2448338,caesar_salad,foie_gras
cup_cakes/1564654,cup_cakes,foie_gras
baby_back_ribs/3228576,baby_back_ribs,foie_gras
escargots/730671,escargots,foie_gras
takoyaki/766813,takoyaki,foie_gras
lasagna/449777,lasagna,foie_gras
spaghetti_carbonara/2222201,spaghetti_carbonara,foie_gras
escargots/1550488,escargots,foie_gras
fried_rice/2186269,fried_rice,foie_gras
hot_dog/2181351,hot_dog,foie_gras
falafel/3144843,falafel,foie_gras
beef_carpaccio/1012548,beef_carpaccio,foie_gras
oysters/2280830,oysters,foie_gras
guacamole/346511,guacamole,foie_gras
creme_brulee/339264,creme_brulee,foie_gras
hamburger/309049,hamburger,foie_gras
croque_madame/3921946,croque_madame,foie_gras
french_toast/3700755,french_toast,foie_gras
guacamole/2692554,guacamole,foie_gras
red_velvet_cake/3686479,red_velvet_cake,foie_gras
ice_cream/3518829,ice_cream,foie_gras
clam_chowder/924933,clam_chowder,foie_gras
macaroni_and_cheese/3519796,macaroni_and_cheese,foie_gras
shrimp_and_grits/1724314,shrimp_and_grits,foie_gras
macaroni_and_cheese/2651072,macaroni_and_cheese,foie_gras
grilled_salmon/249842,grilled_salmon,foie_gras
ravioli/415555,ravioli,foie_gras
breakfast_burrito/2182309,breakfast_burrito,foie_gras
escargots/739010,escargots,foie_gras
bibimbap/962321,bibimbap,foie_gras
crab_cakes/527432,crab_cakes,foie_gras
cheesecake/3096890,cheesecake,foie_gras
grilled_cheese_sandwich/1005927,grilled_cheese_sandwich,foie_gras
fried_rice/2817882,fried_rice,foie_gras
macarons/619177,macarons,foie_gras
pad_thai/1301737,pad_thai,foie_gras
huevos_rancheros/277817,huevos_rancheros,foie_gras
breakfast_burrito/679231,breakfast_burrito,foie_gras
cheesecake/838793,cheesecake,foie_gras
croque_madame/2896853,croque_madame,foie_gras
pad_thai/2735021,pad_thai,foie_gras
lobster_roll_sandwich/45768,lobster_roll_sandwich,foie_gras
grilled_cheese_sandwich/366854,grilled_cheese_sandwich,foie_gras
french_onion_soup/2915262,french_onion_soup,foie_gras
french_onion_soup/3808030,french_onion_soup,foie_gras
onion_rings/3364870,onion_rings,foie_gras
hot_dog/824342,hot_dog,foie_gras
grilled_salmon/3199949,grilled_salmon,foie_gras
breakfast_burrito/3653960,breakfast_burrito,foie_gras
lasagna/1990840,lasagna,foie_gras
tacos/1988022,tacos,foie_gras
french_fries/65608,french_fries,foie_gras
strawberry_shortcake/23881,strawberry_shortcake,foie_gras
baby_back_ribs/2025526,baby_back_ribs,foie_gras
onion_rings/2827024,onion_rings,foie_gras
hot_and_sour_soup/1239660,hot_and_sour_soup,foie_gras
pulled_pork_sandwich/1395290,pulled_pork_sandwich,foie_gras
french_fries/999957,french_fries,foie_gras
tiramisu/2026255,tiramisu,foie_gras
risotto/798423,risotto,foie_gras
beef_carpaccio/1888322,beef_carpaccio,foie_gras
baby_back_ribs/924529,baby_back_ribs,foie_gras
apple_pie/1364847,apple_pie,foie_gras
ice_cream/1944941,ice_cream,foie_gras
creme_brulee/2371108,creme_brulee,foie_gras
spaghetti_carbonara/3202736,spaghetti_carbonara,foie_gras
ramen/199539,ramen,foie_gras
carrot_cake/2927224,carrot_cake,foie_gras
chocolate_mousse/130070,chocolate_mousse,foie_gras
steak/3424937,steak,foie_gras
steak/219196,steak,foie_gras
caprese_salad/3713822,caprese_salad,foie_gras
hot_dog/115411,hot_dog,foie_gras
beef_tartare/2021214,beef_tartare,foie_gras
