image_name,label,fdcId,description,dataType,calories,unit
churros/1004234,churros,,,,,
churros/1013460,churros,,,,,
churros/1016791,churros,,,,,
churros/102100,churros,,,,,
churros/1025494,churros,,,,,
churros/1029245,churros,,,,,
churros/1029669,churros,,,,,
churros/1031729,churros,,,,,
churros/1037793,churros,,,,,
churros/1062354,churros,,,,,
churros/1064040,churros,,,,,
churros/1066964,churros,,,,,
churros/1067707,churros,,,,,
churros/1071888,churros,,,,,
churros/107235,churros,,,,,
churros/1075103,churros,,,,,
churros/1075574,churros,,,,,
churros/1076994,churros,,,,,
churros/1078896,churros,,,,,
churros/1081831,churros,,,,,
churros/1086460,churros,,,,,
churros/1086967,churros,,,,,
churros/1094673,churros,,,,,
churros/1096129,churros,,,,,
churros/1096756,churros,,,,,
churros/1097647,churros,,,,,
churros/1103507,churros,,,,,
churros/1109507,churros,,,,,
churros/1122259,churros,,,,,
churros/1130092,churros,,,,,
churros/1135011,churros,,,,,
churros/1141049,churros,,,,,
churros/1142539,churros,,,,,
churros/1143913,churros,,,,,
churros/115417,churros,,,,,
churros/1154541,churros,,,,,
churros/1155176,churros,,,,,
churros/1160320,churros,,,,,
churros/1166531,churros,,,,,
churros/1168265,churros,,,,,
churros/1168743,churros,,,,,
churros/1170523,churros,,,,,
churros/1171026,churros,,,,,
churros/1176177,churros,,,,,
churros/1176714,churros,,,,,
churros/1179015,churros,,,,,
churros/1189105,churros,,,,,
churros/1200326,churros,,,,,
churros/1202914,churros,,,,,
churros/1206968,churros,,,,,
churros/1213996,churros,,,,,
churros/1214657,churros,,,,,
churros/1218081,churros,,,,,
churros/122633,churros,,,,,
churros/1228765,churros,,,,,
churros/1230967,churros,,,,,
churros/123162,churros,,,,,
churros/1238328,churros,,,,,
churros/1240586,churros,,,,,
churros/1240776,churros,,,,,
churros/1245761,churros,,,,,
churros/1248804,churros,,,,,
churros/1252129,churros,,,,,
churros/1253379,churros,,,,,
churros/1260105,churros,,,,,
churros/1266437,churros,,,,,
churros/1272135,churros,,,,,
churros/1275020,churros,,,,,
churros/1278883,churros,,,,,
churros/1279108,churros,,,,,
churros/1285748,churros,,,,,
churros/1297155,churros,,,,,
churros/1306883,churros,,,,,
churros/1313392,churros,,,,,
churros/1314081,churros,,,,,
churros/1315318,churros,,,,,
churros/1316477,churros,,,,,
churros/1333587,churros,,,,,
churros/1339502,churros,,,,,
churros/1342645,churros,,,,,
churros/1353487,churros,,,,,
churros/135419,churros,,,,,
churros/1362821,churros,,,,,
churros/1367485,churros,,,,,
churros/137386,churros,,,,,
churros/137598,churros,,,,,
churros/1378981,churros,,,,,
churros/1382503,churros,,,,,
churros/1383055,churros,,,,,
churros/1385109,churros,,,,,
churros/1385201,churros,,,,,
churros/1387719,churros,,,,,
churros/1399266,churros,,,,,
churros/140064,churros,,,,,
churros/141775,churros,,,,,
churros/1419004,churros,,,,,
churros/1420670,churros,,,,,
churros/1423810,churros,,,,,
churros/1431470,churros,,,,,
churros/1435952,churros,,,,,
churros/1440917,churros,,,,,
churros/1449993,churros,,,,,
churros/1456902,churros,,,,,
churros/1467895,churros,,,,,
churros/1468475,churros,,,,,
churros/1472994,churros,,,,,
churros/1474701,churros,,,,,
churros/1476262,churros,,,,,
churros/1480675,churros,,,,,
churros/1482464,churros,,,,,
churros/1484519,churros,,,,,
churros/1499881,churros,,,,,
churros/1502740,churros,,,,,
churros/1502746,churros,,,,,
churros/1502812,churros,,,,,
churros/1511951,churros,,,,,
churros/1517418,churros,,,,,
churros/151946,churros,,,,,
churros/1522076,churros,,,,,
churros/1523501,churros,,,,,
churros/1537956,churros,,,,,
churros/1547922,churros,,,,,
churros/1553814,churros,,,,,
churros/1562661,churros,,,,,
churros/1565019,churros,,,,,
churros/157855,churros,,,,,
churros/1587692,churros,,,,,
churros/1594137,churros,,,,,
churros/1594256,churros,,,,,
churros/1601,churros,,,,,
churros/1605831,churros,,,,,
churros/1613279,churros,,,,,
churros/1616270,churros,,,,,
churros/1618626,churros,,,,,
churros/1621839,churros,,,,,
churros/1627635,churros,,,,,
churros/1633106,churros,,,,,
churros/1642486,churros,,,,,
churros/1642518,churros,,,,,
churros/1644259,churros,,,,,
churros/1644687,churros,,,,,
churros/165517,churros,,,,,
churros/1656185,churros,,,,,
churros/1658982,churros,,,,,
churros/16769,churros,,,,,
churros/1679284,churros,,,,,
churros/1680006,churros,,,,,
churros/1683080,churros,,,,,
churros/1684148,churros,,,,,
churros/1684984,churros,,,,,
churros/1693020,churros,,,,,
churros/1697967,churros,,,,,
churros/1698478,churros,,,,,
churros/1700340,churros,,,,,
churros/170460,churros,,,,,
churros/1711086,churros,,,,,
churros/1711179,churros,,,,,
churros/1721260,churros,,,,,
churros/1723054,churros,,,,,
churros/1728501,churros,,,,,
churros/1736083,churros,,,,,
churros/1738078,churros,,,,,
churros/1741652,churros,,,,,
churros/1743495,churros,,,,,
churros/1745397,churros,,,,,
churros/1746579,churros,,,,,
churros/1750440,churros,,,,,
churros/1751004,churros,,,,,
churros/17547,churros,,,,,
churros/1765403,churros,,,,,
churros/1768107,churros,,,,,
churros/1795482,churros,,,,,
churros/1797116,churros,,,,,
churros/1798851,churros,,,,,
churros/1799068,churros,,,,,
churros/1799590,churros,,,,,
churros/1800858,churros,,,,,
churros/1801080,churros,,,,,
churros/1802415,churros,,,,,
churros/1802940,churros,,,,,
churros/1803698,churros,,,,,
churros/1822128,churros,,,,,
churros/182224,churros,,,,,
churros/1823672,churros,,,,,
churros/1823846,churros,,,,,
churros/1831548,churros,,,,,
churros/1834472,churros,,,,,
churros/1835086,churros,,,,,
churros/1842309,churros,,,,,
churros/1842744,churros,,,,,
churros/1844134,churros,,,,,
churros/1847355,churros,,,,,
churros/1848421,churros,,,,,
churros/1849521,churros,,,,,
churros/1849640,churros,,,,,
churros/1860672,churros,,,,,
churros/1863503,churros,,,,,
churros/1864508,churros,,,,,
churros/1885199,churros,,,,,
churros/1887101,churros,,,,,
churros/1894553,churros,,,,,
churros/189772,churros,,,,,
churros/1898290,churros,,,,,
churros/191094,churros,,,,,
churros/1915687,churros,,,,,
churros/1930486,churros,,,,,
churros/1932934,churros,,,,,
churros/1933785,churros,,,,,
churros/1939260,churros,,,,,
churros/1939616,churros,,,,,
churros/1940361,churros,,,,,
churros/1943951,churros,,,,,
churros/1944265,churros,,,,,
churros/1948848,churros,,,,,
churros/1951818,churros,,,,,
churros/1954482,churros,,,,,
churros/1956786,churros,,,,,
churros/1957429,churros,,,,,
churros/1963106,churros,,,,,
churros/1963107,churros,,,,,
churros/1966162,churros,,,,,
churros/1966226,churros,,,,,
churros/1967592,churros,,,,,
churros/1971765,churros,,,,,
churros/1972000,churros,,,,,
churros/1972869,churros,,,,,
churros/1973187,churros,,,,,
churros/1974722,churros,,,,,
churros/1977745,churros,,,,,
churros/1982291,churros,,,,,
churros/1989544,churros,,,,,
churros/1992260,churros,,,,,
churros/1993511,churros,,,,,
churros/1995090,churros,,,,,
churros/2002940,churros,,,,,
churros/2004747,churros,,,,,
churros/2010867,churros,,,,,
churros/2028901,churros,,,,,
churros/2038619,churros,,,,,
churros/2061303,churros,,,,,
churros/2061499,churros,,,,,
churros/2079919,churros,,,,,
churros/2085760,churros,,,,,
churros/2086962,churros,,,,,
churros/2088652,churros,,,,,
churros/2089400,churros,,,,,
churros/2092623,churros,,,,,
churros/2093231,churros,,,,,
churros/2093675,churros,,,,,
churros/2096314,churros,,,,,
churros/2097629,churros,,,,,
churros/2097957,churros,,,,,
churros/2103680,churros,,,,,
churros/2108129,churros,,,,,
churros/2113245,churros,,,,,
churros/2124955,churros,,,,,
churros/2130655,churros,,,,,
churros/2133256,churros,,,,,
churros/2133806,churros,,,,,
churros/2136119,churros,,,,,
churros/213746,churros,,,,,
churros/2139996,churros,,,,,
churros/2143188,churros,,,,,
churros/2149555,churros,,,,,
churros/2151645,churros,,,,,
churros/2151935,churros,,,,,
churros/2161860,churros,,,,,
churros/2164793,churros,,,,,
churros/2165169,churros,,,,,
churros/2167393,churros,,,,,
churros/2167538,churros,,,,,
churros/2168345,churros,,,,,
churros/2173060,churros,,,,,
churros/2175700,churros,,,,,
churros/2187672,churros,,,,,
churros/2189937,churros,,,,,
churros/219636,churros,,,,,
churros/2200443,churros,,,,,
churros/2205349,churros,,,,,
churros/2210426,churros,,,,,
churros/2217408,churros,,,,,
churros/2223400,churros,,,,,
churros/2227644,churros,,,,,
churros/2228910,churros,,,,,
churros/2234797,churros,,,,,
churros/2241421,churros,,,,,
churros/2242787,churros,,,,,
churros/2243730,churros,,,,,
churros/2244814,churros,,,,,
churros/2247388,churros,,,,,
churros/2249944,churros,,,,,
churros/2251145,churros,,,,,
churros/2266312,churros,,,,,
churros/227002,churros,,,,,
churros/2270296,churros,,,,,
churros/2290494,churros,,,,,
churros/2292954,churros,,,,,
churros/2296237,churros,,,,,
churros/2311197,churros,,,,,
churros/2316339,churros,,,,,
churros/2327747,churros,,,,,
churros/2327883,churros,,,,,
churros/2332593,churros,,,,,
churros/2336177,churros,,,,,
churros/2344187,churros,,,,,
churros/235804,churros,,,,,
churros/2359058,churros,,,,,
churros/2369688,churros,,,,,
churros/2372341,churros,,,,,
churros/2372422,churros,,,,,
churros/2373405,churros,,,,,
churros/2374104,churros,,,,,
churros/2380450,churros,,,,,
churros/2381662,churros,,,,,
churros/2387770,churros,,,,,
churros/2403063,churros,,,,,
churros/241986,churros,,,,,
churros/2421528,churros,,,,,
churros/2422038,churros,,,,,
churros/2424202,churros,,,,,
churros/2432384,churros,,,,,
churros/2432390,churros,,,,,
churros/2436025,churros,,,,,
churros/244069,churros,,,,,
churros/2442141,churros,,,,,
churros/244581,churros,,,,,
churros/2453673,churros,,,,,
churros/2462932,churros,,,,,
churros/2463252,churros,,,,,
churros/2469464,churros,,,,,
churros/2471002,churros,,,,,
churros/2475070,churros,,,,,
churros/248548,churros,,,,,
churros/2494317,churros,,,,,
churros/2497560,churros,,,,,
churros/2505589,churros,,,,,
churros/2505846,churros,,,,,
churros/250811,churros,,,,,
churros/2508213,churros,,,,,
churros/2509850,churros,,,,,
churros/2511021,churros,,,,,
churros/2513690,churros,,,,,
churros/2515615,churros,,,,,
churros/2532463,churros,,,,,
churros/2534176,churros,,,,,
churros/2539667,churros,,,,,
churros/2544801,churros,,,,,
churros/2547960,churros,,,,,
churros/2550886,churros,,,,,
churros/255320,churros,,,,,
churros/2562253,churros,,,,,
churros/2567372,churros,,,,,
churros/2568660,churros,,,,,
churros/2570249,churros,,,,,
churros/2572334,churros,,,,,
churros/2576018,churros,,,,,
churros/258780,churros,,,,,
churros/2589343,churros,,,,,
churros/2595326,churros,,,,,
churros/2599029,churros,,,,,
churros/2601688,churros,,,,,
churros/2602489,churros,,,,,
churros/2603374,churros,,,,,
churros/2608998,churros,,,,,
churros/261203,churros,,,,,
churros/2612251,churros,,,,,
churros/2613362,churros,,,,,
churros/2618088,churros,,,,,
churros/2625009,churros,,,,,
churros/262724,churros,,,,,
churros/2629158,churros,,,,,
churros/2629850,churros,,,,,
churros/2630630,churros,,,,,
churros/2643248,churros,,,,,
