source_label,query_used,fdcId,description,dataType,calories,protein,fat,carbohydrates,normalized_description
apple_pie,apple pie,2084465,APPLE PIE,Branded,300.0,33.3,8.33,41.7,apple pie
apple_pie,apple pie,1916963,APPLE PIE,Branded,276.0,3.25,8.13,46.3,apple pie
apple_pie,apple pie,2288447,APPLE PIE,Branded,354.0,1.77,15.0,54.0,apple pie
apple_pie,apple pie,2063662,APPLE PIE,Branded,211.0,1.32,11.0,29.1,apple pie
apple_pie,apple pie,2063720,APPLE PIE,Branded,254.0,2.31,12.3,33.1,apple pie
apple_pie,apple pie,467606,APPLE PIE,Branded,252.0,2.44,10.6,35.8,apple pie
apple_pie,apple pie,1959758,APPLE PIE,Branded,276.0,1.63,13.8,35.0,apple pie
apple_pie,apple pie,2078202,APPLE PIE,Branded,292.0,2.5,15.8,35.8,apple pie
apple_pie,apple pie,2145730,APPLE PIE,Branded,118.0,0.0,0.0,29.4,apple pie
apple_pie,apple pie,2542570,APPLE PIE,Branded,293.0,2.59,17.2,31.9,apple pie
apple_pie,apple pie,2540703,APPLE PIE,Branded,331.0,2.94,17.6,40.4,apple pie
apple_pie,apple pie,1923862,APPLE PIE,Branded,448.0,6.9,24.1,58.6,apple pie
apple_pie,apple pie,2069008,APPLE PIE,Branded,258.0,1.52,13.6,34.1,apple pie
apple_pie,apple pie,1905140,APPLE PIE,Branded,246.0,1.69,11.9,38.1,apple pie
apple_pie,apple pie,2075282,APPLE PIE,Branded,230.0,1.35,7.43,38.5,apple pie
baby_back_ribs,baby back ribs,1457876,BABY BACK RIBS,Branded,170.0,18.8,9.82,0.0,baby back ribs
baby_back_ribs,baby back ribs,2075506,BABY BACK RIBS,Branded,229.0,14.3,14.3,10.7,baby back ribs
baby_back_ribs,baby back ribs,2020992,BABY BACK RIBS,Branded,186.0,16.4,10.0,7.86,baby back ribs
baby_back_ribs,baby back ribs,2099488,BABY BACK RIBS,Branded,236.0,10.7,16.4,10.7,baby back ribs
baby_back_ribs,baby back ribs,2134922,"BABY BACK RIBS POTATO CHIPS, BABY BACK RIBS",Branded,536.0,7.14,32.1,57.1,baby back ribs potato chips baby back ribs
baby_back_ribs,baby back ribs,2369978,"BABY BACK RIBS POTATO SKINS, BABY BACK RIBS",Branded,493.0,3.52,28.2,56.3,baby back ribs potato skins baby back ribs
baby_back_ribs,baby back ribs,2387413,"BABY BACK RIB FLAVORED POTATO CHIPS, BABY BACK RIB",Branded,536.0,7.14,32.1,53.6,baby back rib flavored potato chips baby back rib
baby_back_ribs,baby back ribs,2386889,"BABY BACK RIB FLAVORED POTATO CHIPS, BABY BACK RIB",Branded,536.0,7.14,32.1,53.6,baby back rib flavored potato chips baby back rib
baby_back_ribs,baby back ribs,2370172,"BABY BACK RIBS POTATO SKINS SNACKS, BABY BACK RIBS",Branded,493.0,3.52,28.2,52.8,baby back ribs potato skins snacks baby back ribs
baby_back_ribs,baby back ribs,2534184,"BABY BACK RIBS RIPPLED POTATO CHIPS, BABY BACK RIBS",Branded,536.0,7.14,32.1,53.6,baby back ribs rippled potato chips baby back ribs
baby_back_ribs,baby back ribs,2620031,"BABY BACK RIBS WAVY POTATO CHIPS, BABY BACK RIBS",Branded,536.0,7.14,32.1,53.6,baby back ribs wavy potato chips baby back ribs
baby_back_ribs,baby back ribs,1895801,BABY BACK PORK RIBS,Branded,207.0,13.6,9.29,16.4,baby back pork ribs
baby_back_ribs,baby back ribs,1943306,BABY BACK PORK RIBS,Branded,171.0,10.0,8.57,14.3,baby back pork ribs
baby_back_ribs,baby back ribs,1924760,BABY BACK PORK RIBS,Branded,221.0,12.9,9.29,26.4,baby back pork ribs
baby_back_ribs,baby back ribs,2579616,BABY BACK RIB SAUCE,Branded,117.0,0.0,0.0,26.7,baby back rib sauce
baklava,baklava,2708044,Baklava,Survey (FNDDS),440.0,6.58,29.34,37.55,baklava
baklava,baklava,2218273,BAKLAVA,Branded,514.0,5.41,40.5,37.8,baklava
baklava,baklava,2069838,BAKLAVA,Branded,535.0,6.98,39.5,37.2,baklava
baklava,baklava,2367745,BAKLAVA,Branded,500.0,7.89,26.3,55.3,baklava
baklava,baklava,1913228,BAKLAVA,Branded,440.0,4.0,24.0,48.0,baklava
