query,fdcId,description,dataType,calories,protein,fat,carbohydrates,source_label,query_used,match_score
apple pie,2084465,APPLE PIE,Branded,300.0,33.3,8.33,41.7,apple_pie,apple pie,100.0
baby back ribs,1457876,BABY BACK RIBS,Branded,170.0,18.8,9.82,0.0,baby_back_ribs,baby back ribs,100.0
baklava,2708044,Baklava,Survey (FNDDS),440.0,6.58,29.34,37.55,baklava,baklava,100.0
beef carpaccio,2660667,THINLY SLICED BEEF,Branded,179.0,14.3,12.9,1.43,beef_carpaccio,thinly sliced raw beef appetizer,72.0
beef tartare,2706394,Steak tartare,Survey (FNDDS),216.0,17.45,15.6,0.34,beef_tartare,beef tartare,100.0
beet salad,1922885,BEET SALAD,Branded,93.0,1.32,5.29,11.0,beet_salad,beet salad,100.0
beignets,2708071,Beignet,Survey (FNDDS),417.0,5.46,20.18,53.69,beignets,beignets,93.33333333333333
bibimbap,2708950,"Bibimbap, Korean",Survey (FNDDS),76.0,5.5,2.44,8.11,bibimbap,bibimbap,69.56521739130434
bread pudding,2381798,BREAD PUDDING,Branded,222.0,4.04,4.55,42.4,bread_pudding,bread pudding,100.0
breakfast burrito,2315891,BREAKFAST BURRITO,Branded,198.0,8.13,7.77,26.2,breakfast_burrito,breakfast burrito,100.0
bruschetta,2707652,Bruschetta,Survey (FNDDS),171.0,4.29,7.61,21.32,bruschetta,bruschetta,100.0
caesar salad,1916135,CAESAR SALAD,Branded,190.0,4.0,16.0,8.0,caesar_salad,caesar salad,100.0
cannoli,1942720,CANNOLI,Branded,328.0,6.32,14.7,42.1,cannoli,cannoli,100.0
caprese salad,1950083,CAPRESE SALAD,Branded,152.0,5.76,10.5,9.42,caprese_salad,caprese salad,100.0
carrot cake,1897618,CARROT CAKE,Branded,519.0,3.7,33.3,59.3,carrot_cake,carrot cake,100.0
ceviche,2706463,Ceviche,Survey (FNDDS),63.0,10.53,0.76,3.58,ceviche,ceviche,100.0
cheese plate,2664310,SPANISH CHEESE PLATE,Branded,457.0,25.0,35.7,3.57,cheese_plate,cheese plate,75.0
cheesecake,2040992,CHEESECAKE,Branded,389.0,4.42,23.9,40.7,cheesecake,cheesecake,100.0
chicken curry,2706437,Chicken curry,Survey (FNDDS),107.0,6.48,6.48,6.54,chicken_curry,chicken curry,100.0
chicken quesadilla,1940403,CHICKEN QUESADILLA,Branded,239.0,14.2,10.6,22.1,chicken_quesadilla,chicken quesadilla,100.0
chicken wings,1906811,CHICKEN WINGS,Branded,283.0,18.6,18.6,0.0,chicken_wings,chicken wings,100.0
chocolate cake,2092208,CHOCOLATE CAKE,Branded,439.0,3.03,22.7,57.6,chocolate_cake,chocolate cake,100.0
chocolate mousse,1863369,CHOCOLATE MOUSSE,Branded,269.0,1.19,23.8,19.0,chocolate_mousse,chocolate mousse,100.0
churros,2708070,Churros,Survey (FNDDS),419.0,6.05,22.21,48.87,churros,churros,100.0
clam chowder,1916483,CLAM CHOWDER,Branded,118.0,3.67,8.57,6.53,clam_chowder,clam chowder,100.0
club sandwich,2706973,Cuban sandwich,Survey (FNDDS),228.0,15.86,10.69,16.3,club_sandwich,club sandwich,88.88888888888889
crab cakes,2381781,CRAB CAKES,Branded,239.0,14.2,16.8,7.08,crab_cakes,crab cakes,100.0
creme brulee,2705684,Creme brulee,Survey (FNDDS),113.0,4.06,2.83,17.85,creme_brulee,creme brulee,100.0
croque madame,2279002,"GRILLED HAM & CHEESE SANDWICH, GRILLED HAM & CHEESE",Branded,314.0,8.57,18.1,31.4,croque_madame,grilled ham and cheese sandwich with fried egg,73.91304347826086
cup cakes,2029186,CUP CAKES,Branded,356.0,2.22,13.3,60.0,cup_cakes,cup cakes,100.0
deviled eggs,2094667,DEVILED EGGS,Branded,286.0,10.7,25.0,0.0,deviled_eggs,deviled eggs,100.0
donuts,2055870,DONUTS,Branded,404.0,3.51,17.5,61.4,donuts,donuts,100.0
dumplings,1871606,DUMPLINGS,Branded,145.0,9.21,1.97,23.7,dumplings,dumplings,100.0
edamame,2550119,EDAMAME,Branded,106.0,11.8,4.71,7.06,edamame,edamame,100.0
eggs benedict,2707180,"Egg, Benedict",Survey (FNDDS),288.0,13.81,22.1,8.48,eggs_benedict,eggs benedict,96.0
escargots,2706368,Escargot,Survey (FNDDS),158.0,19.99,6.91,2.48,escargots,escargots,94.11764705882352
falafel,2707408,Falafel,Survey (FNDDS),514.0,8.28,41.19,28.96,falafel,falafel,100.0
filet mignon,2068002,FILET MIGNON,Branded,196.0,15.2,15.2,0.0,filet_mignon,filet mignon,100.0
fish and chips,2706232,"Fish, anchovy",Survey (FNDDS),210.0,28.89,9.71,0.0,fish_and_chips,fish and chips,69.23076923076923
foie gras,2023782,LIVER PATE,Branded,267.0,13.3,21.7,6.67,foie_gras,goose liver pate french delicacy,80.0
french fries,2093015,FRENCH FRIES,Branded,179.0,2.38,8.33,22.6,french_fries,french fries,100.0
